latitude,longitude,Name,Address,Description,Theme,SourceYear
34.0646563,-118.2894329,AFSCME,"514 Shatto Pl., Los Angeles, CA 90020",,labor,2021
34.0713217,-118.3050599,IBEW Local 18,"4189 W. 2nd St., Los Angeles,CA 90004",,labor,2021
34.0650571,-118.2762863,IUOE,"2405 W. 3rd St., Los Angeles, CA 90057",,labor,2021
34.0471587,-118.281303,LIUNA Local 300,"2005 W. Pico Blvd., Los Angeles, CA 90006",,labor,2021
34.0535147,-118.2795673,Los Angeles County Federation of Labor,"2130 James M. Wood Blvd., Los Angeles,CA 90006",,labor,2021
34.0634801,-118.2643068,Building Trades and Construction Trades Council,"1626 Beverly Blvd., Los Angeles, CA 90026",,labor,2021
34.0510571,-118.2697661,National Assoc. of Letter Carriers,"775 Columbia Ave., Los Angeles,CA 90017",,labor,2021
34.0574381,-118.2849457,SEIU Local 99,"2724 W. 8th St., Los Angeles, CA 90005",,labor,2021
34.0555766,-118.2697011,SEIU Local 121,"1545 Wilshire Blvd., Los Angeles, CA 90017",,labor,2021
34.0707898,-118.2805722,SEIU Local 2016,"2910 Beverly Blvd., Los Angeles, CA 90057",,labor,2021
34.0356964,-118.2759132,SEIU-USWW,"828 W. Washington Blvd, Los Angeles, CA 90015",,labor,2021
34.0524767,-118.2789964,SEIU Local 52,"920 S. Alvarado, Los Angeles, CA 90006",,labor,2021
34.0652856,-118.2904377,Pipe Trades District Council 16,"501 Shatto Pl., Los Angeles, CA 90020",,labor,2021
34.0521824,-118.2589207,Southwest Regional Council of Carpenters,"533 S. Fremont Ave., Los Angeles, CA 90017",,labor,2021
34.0557651,-118.2628492,UNITE HERE Local 11,"464 Lucas Ave., Los Angeles, CA 90017",,labor,2021
34.0483134,-118.2670518,UC Plumbers Local 78,"1111 James M Wood Blvd, Los Angeles, CA 90015",,labor,2021
34.062793,-118.2895243,UCFW Local 770,"630 Shatto Pl., Los Angeles, CA 90005",,labor,2021
34.052953,-118.265186,USA Local 829 (IATSE),"1200 Wilshire Blvd, Los Angeles, CA 90017",,labor,2021
34.0625731,-118.2944253,UTLA,"3303 Wilshire Blvd., Los Angeles, CA 90010",,labor,2021
34.0524767,-118.2789964,Workers United Western States Board,"920 S. Alvarado, Los Angeles, CA 90006",,labor,2021
34.0554017,-118.2695007,Alliance for a Better Community,"1541 Wilshire Blvd, Los Angeles, CA 90017",,policy,2021
34.0506597,-118.2695184,ACLU,"1313 W. 8th St, Los Angeles, CA 90017",,law,2021
34.0600583,-118.2854137,Central American Resource Center,"2845 W. 7th St., Los Angeles, CA 90005",,immigration,2021
34.066049,-118.2710977,Clinica Romero,"123 S. Alvarado St., Los Angeles, CA 90057",,health,2021
34.0653603,-118.277078,CHIRLA,"2533 W. 3rd, Los Angeles, CA 90057",,immigration,2021
34.0518497,-118.2705233,El Rescate,"1501 W. 8th St., Los Angeles, CA 90017",,immigration,2021
34.0503227,-118.2725695,Esperanza Immigrant Rights Project,"1530 James M Wood Blvd., Los Angeles, CA 90015",,immigration,2021
34.0620291,-118.2880824,Food Chain Workers Alliance,"3055 Wilshire Blvd., Los Angeles, CA 90010",,labor,2021
34.051177,-118.292967,KIWA,"1053 S. New Hampshire Ave., Los Angeles, CA 90006",,labor,2021
34.051968,-118.271996,Legal Aid Foundation,"1550 W. 8th St., Los Angeles, CA 90017",,law,2021
34.0557651,-118.2628492,LAANE,"464 Lucas Ave., Los Angeles, CA 90017",,policy,2021
34.0656215,-118.2706603,LA Hospitality Training Academy,"130 S. Alvarado St., Los Angeles, CA 90057",,education,2021
34.0525613,-118.2627151,Pico Union Work Source Center,"1055 Wilshire Blvd., Los Angeles, CA 90017",,service,2021
34.0634896,-118.260097,Pilipino Workers Center,"153 Glendale Blvd., Los Angeles, CA 90026",,immigration,2021
34.061086,-118.2933151,Wage Justice Center,"3250 Wilshire Blvd., Los Angeles, CA 90010",,law,2021
34.0555766,-118.2697011,Worker Education and Resource Center,"1545 Wilshire Blvd., Los Angeles, CA 90017",,education,2021
34.0563943,-118.2735609,Peoples College of Law,"660 S. Bonnie Brae St., Los Angeles, CA 90057",,law,2021
34.0574676,-118.2614788,Miguel Contreras Learning Complex,"322 Lucas Ave., Los Angeles, CA 90017",,education,2021
