union,company,address,election_date,outcome,elig_voter,fst_votes,votes_no,challenged,latitude,longitude
IBT,AMERICAN MAGNETICS CORP,"740 E WATSON CENTER RD, CARSON, CA 907454181",7/21/83,Lost,169,69,83,1,33.819201,-118.261674
IBT,"CARTER PRECISION PARTS, INC","6393 E WASHINGTON BOULE, MONTEBELLO, CA 90640",7/22/83,Won,575,258,252,4,33.9973466,-118.1417089
SEIU,LAURELWOOD CONVALESCENT HOSPITAL,"13000 VICTORY BLVD, NORTH HOLLYWOOD, CA 916062993",8/25/83,Lost,46,20,23,0,34.1865414,-118.4162584
LOCAL,LOS ANGELES NUT HOUSE,"741 TERMINAL ST, LOS ANGELES, CA 900211104",8/26/83,Won,52,15,1,5,34.0340009,-118.2413419
IBT,DICK'S METAL POLISHING,"7311 MADISON ST, PARAMOUNT, CA 907234029",8/26/83,Lost,17,8,8,0,33.891451,-118.170582
LDC,COMPLETE UNIFORM RENTAL,"702 W ANAHEIM ST, LONG BEACH, CA 908132820",8/26/83,Lost,22,5,15,2,33.7823448,-118.2005844
IBT,NORTH HOLLYWOOD GLASS CO,"11050 CHANDLER BLVD, NORTH HOLLYWOOD, CA 916013226",8/29/83,Lost,7,3,4,0,34.1686816,-118.368155
ITU,"ANDEREW PRINTING CO, INC","2141 BIXBY RD, LAKEWOOD, CA 907124101",9/20/83,Lost,4,2,2,0,33.826985,-118.1659346
UA,L.A. FIRE PROTECTION CO,"900 E 8TH ST, LOS ANGELES, CA 900211806",9/26/83,Lost,16,2,9,3,34.0361583,-118.2467691
UAW,ALCO AUTO PRODUCTS,"3027 S MAIN ST, LOS ANGELES, CA 900073826",9/28/83,Lost,38,16,20,2,34.0210893,-118.2712864
IBT,"CHANSLOR AND LYON CO, INC","4321 EXCHANGE AVE, LOS ANGELES, CA 900582619",9/30/83,Lost,52,6,27,3,34.0030634,-118.2013072
SEIU,ATLAS CARE ENTERPRISES,"201 ALLEN AVE, GLENDALE, CA 912012803",10/5/83,Won,43,26,15,1,34.1628345,-118.3058744
SEIU,GRAND AVENUE CONVALESCENT,"1730 GRAND AVE, LONG BEACH, CA 908042098",10/6/83,Won,65,34,16,8,33.7883354,-118.1479294
IBT,DOWD & KOSTER CO,"2624 YATES AVE, LOS ANGELES, CA 900402686",10/7/83,Lost,41,14,21,6,33.9916928,-118.135795
HERE,PERINO'S RESTAURANT DOWNTOWN,"444 S FLOWER ST, LOS ANGELES, CA 900712901",10/7/83,Won,125,60,15,5,34.051561,-118.2549921
IBT,POMONA COLLEGE,"333 N COLLEGE WAY, CLAREMONT, CA 917117000",10/7/83,Lost,49,23,25,0,34.0977683,-117.7118837
IATSE,SCHLATTER GEORGE PRODUCTIONS,"8321 BEVERLY BLVD, LOS ANGELES, CA 900482607",10/14/83,Lost,33,14,16,2,34.0763838,-118.3707616
SEIU,PINE CREST CONVALESCENT CENTER,"6025 PINE AVE, MAYWOOD, CA 902703138",10/14/83,Won,80,40,23,1,33.9846905,-118.1891516
SEIU,ARTESIA ARCHES QUALITY CARE CENTER,"3232 E ARTESIA BLVD, LONG BEACH, CA 908052811",10/14/83,Won,138,66,31,11,33.8741667,-118.1549649
UBC,JAYAR MANUFACTURING CO,"3700 CYPRESS AVE, EL MONTE, CA 917312797",10/18/83,Lost,28,4,20,4,34.0744607,-118.0294498
SEIU,AVALON-SLAUSON MEDICAL GROUP,"5807 AVALON BLVD, LOS ANGELES, CA 900115303",10/19/83,Won,14,13,0,0,33.9895118,-118.2657271
IBT,"WESTINGHOUSE BROADCASTING & CABLE, INC","6230 YUCCA ST, LOS ANGELES, CA 900285217",10/19/83,Lost,17,5,10,0,34.1036133,-118.3254881
AFSCME,HAMBURGER HOME FOR GIRLS,"7357 HOLLYWOOD BLVD, LOS ANGELES, CA 900462907",10/21/83,Lost,17,8,8,0,34.1020169,-118.350363
LOCAL,M.G. INDUSTRIES,"11705 S ALAMEDA ST, LOS ANGELES, CA 900592130",10/21/83,Lost,4,0,4,0,33.9281097,-118.227439
LGPN,SEA BREEZE MANUFACTURING CO,"19555 PRAIRIE ST, NORTHRIDGE, CA 913242424",10/21/83,Lost,254,106,132,0,34.2395695,-118.5597833
IBT,FILE KEEPERS INC,"8560 W SUNSET BLVD, WEST HOLLYWOOD, CA 900692311",10/26/83,Won,13,9,2,0,34.0930548,-118.378038
IBT,"MONTGOMERY WARDS & CO, INC","8666 GARVEY AVE, ROSEMEAD, CA 917703269",10/26/83,Lost,47,17,30,0,34.0623847,-118.0795179
IBT,J.C. CARRASSCO INC,"3650 E 26TH ST, LOS ANGELES, CA 900234504",10/27/83,Lost,10,1,8,0,34.0104216,-118.2040947
SEIU,CEDARS-SINAI MEDICAL CENTER,"8700 BEVERLY BLVD, WEST HOLLYWOOD, CA 900481865",10/27/83,Lost,1379,554,650,94,34.0761098,-118.3799992
SMW,CAIFORNIA CHASSIS,"10636 MIDWAY AVE, CERRITOS, CA 907031522",10/28/83,Lost,39,9,29,0,33.8833844,-118.1055469
SIU,MARINA CITY CLUB,"4333 ADMIRALTY WAY, MARINA DEL REY, CA 902925469",10/30/83,Won,121,63,43,0,33.9849237,-118.4536117
